Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score
I_11,40,0.578496377862147,0.06631072904172676,0.09100874713596502,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_12,27,0.6472612588569597,0.05601007082399099,0.10277620437360112,0.021747388070767214,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_13,36,0.5922806210811195,0.06694028022598447,0.09724195806615923,0.009788767184648928,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_14,42,0.5771384334616224,0.06650634789472902,0.09077053219433229,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315
I_15,24,0.6891403601217316,0.05343234342057609,0.11845341003876657,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304
I_16,28,0.6456270493823133,0.059170102548649225,0.1078011700767396,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_17,29,0.640873408283069,0.05989185024053135,0.10687900889913104,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_18,29,0.640873408283069,0.05989185024053135,0.10687900889913104,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_19,26,0.6522034717686854,0.058474995709744786,0.10965490485917027,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315
I_20,43,0.5417692786380919,0.07932053868464556,0.09378120894348571,0.033212144659535446,0.2256770271023915,0.22044432439694953,0.13592553320611697,0.15056568396854866,0.2041241452319315
