Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score
I_23,14,0.7745882325644219,0.033409446077392435,0.11480573566524103,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_24,14,0.7745882325644219,0.033409446077392435,0.11480573566524103,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_25,23,0.7184512867959377,0.04138256184887417,0.10559932763637704,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_26,23,0.7184512867959377,0.04138256184887417,0.10559932763637704,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_27,23,0.7184512867959377,0.04138256184887417,0.10559932763637704,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_28,10,0.7778495160480038,0.03186190609094091,0.11156297205528834,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_29,10,0.7778495160480038,0.03186190609094091,0.11156297205528834,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_30,10,0.7778495160480038,0.03186190609094091,0.11156297205528834,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891
N_31,46,0.5101322867868447,0.08098229493600576,0.08433232521894223,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.10037712264569912,0.12247448713915891
N_32,45,0.5152851314470347,0.08199263976508646,0.08716379649167971,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.05018856132284956,0.040824829046386304
I_33,44,0.5263904480815192,0.07870905426405786,0.08748069833959216,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.13592553320611697,0.15056568396854866,0.040824829046386304
I_34,18,0.7623080998164569,0.030326861053801793,0.09726209351462778,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.10194414990458772,0.20075424529139824,0.040824829046386304
I_35,43,0.5898752775593248,0.05497259257374752,0.07906612678606711,0.10191843949315212,0.057046137406437845,0.25198179196005704,0.10194414990458772,0.15056568396854866,0.2041241452319315
I_36,4,0.8029055126461285,0.02630255667445597,0.10714895192725997,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891
I_37,4,0.8029055126461285,0.02630255667445597,0.10714895192725997,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891
I_38,7,0.7902319412050026,0.028381406953508017,0.10691758525981389,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.13592553320611697,0.10037712264569912,0.12247448713915891
I_39,29,0.7043665141374855,0.039550365036581984,0.0942313847580777,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.13592553320611697,0.20075424529139824,0.2041241452319315
N_40,19,0.7565349451413368,0.035122354552604707,0.10913799760756057,0.13313065869421445,0.016298896401839385,0.0,0.13592553320611697,0.20075424529139824,0.2041241452319315
N_41,20,0.755213187890702,0.03533657964609274,0.1090199702088679,0.12995875900145684,0.012537612616799526,0.0,0.16990691650764622,0.15056568396854866,0.2041241452319315
N_42,47,0.43985571257630485,0.09066376167731766,0.071194109076507,0.07387811998484738,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_43,6,0.7957443595616644,0.027920466025070888,0.10877326720625215,0.05854845435914933,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_44,2,0.8213545802793857,0.023867232399652428,0.10973391134631467,0.05854845435914933,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.15056568396854866,0.12247448713915891
I_45,47,0.43985571257630485,0.09066376167731766,0.071194109076507,0.07387811998484738,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315
N_46,40,0.6139386390969388,0.051260227509445026,0.08151718225137357,0.06621328717199836,0.10155466219607617,0.2627617616695782,0.10194414990458772,0.15056568396854866,0.12247448713915891
N_47,16,0.7701776453580538,0.033022507697463024,0.11066459249307646,0.13313065869421445,0.016298896401839385,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304
N_48,32,0.6765588961658419,0.04348342483039721,0.0909565839221483,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.06796276660305849,0.15056568396854866,0.2041241452319315
